ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense
NWBI,2024-12-31,quarterly,444703000.0,200331000.0,244372000.0,1397322000.0,156325000.0,56525000.0
NWBI,2025-03-31,quarterly,441794000.0,197270000.0,244524000.0,1506588000.0,88591000.0,52777000.0
NWBI,2025-06-30,quarterly,442685000.0,198008000.0,244677000.0,1461958000.0,175610000.0,52126000.0
NWBI,2025-09-30,quarterly,613069000.0,262636000.0,350433000.0,301610000.0,334252000.0,58704000.0
NWBI,2025-12-31,quarterly,446283000.0,,350375000.0,1820029000.0,212636000.0,60659000.0
NWL,2018-03-31,quarterly,11156100000.0,1532600000.0,9623500000.0,459000000.0,10697100000.0,116100000.0
NWL,2018-06-30,quarterly,10502900000.0,1202200000.0,9300700000.0,2279400000.0,8223500000.0,120500000.0
NWL,2018-09-30,quarterly,9613100000.0,316300000.0,9296800000.0,1443600000.0,8169500000.0,105600000.0
NWL,2018-12-31,quarterly,7015000000.0,318700000.0,6696300000.0,495700000.0,6519300000.0,104100000.0
NWL,2019-03-31,quarterly,7815800000.0,711400000.0,6694600000.0,364100000.0,7451700000.0,80200000.0
NWL,2019-06-30,quarterly,7323900000.0,171700000.0,6707800000.0,624500000.0,6699400000.0,78200000.0
NWL,2019-09-30,quarterly,6880900000.0,765900000.0,5691700000.0,465400000.0,6415500000.0,75000000.0
NWL,2019-12-31,quarterly,6407000000.0,465000000.0,5391300000.0,348600000.0,6058400000.0,70700000.0
NWL,2020-03-31,quarterly,6643000000.0,765000000.0,5375000000.0,476000000.0,6167000000.0,63000000.0
NWL,2020-06-30,quarterly,6813000000.0,538000000.0,5781000000.0,619000000.0,6194000000.0,71000000.0
NWL,2020-09-30,quarterly,6507000000.0,228000000.0,5794000000.0,858000000.0,5649000000.0,71000000.0
NWL,2020-12-31,quarterly,6208000000.0,595000000.0,5141000000.0,981000000.0,5227000000.0,69000000.0
NWL,2021-03-31,quarterly,6075000000.0,482000000.0,5135000000.0,682000000.0,5393000000.0,67000000.0
NWL,2021-06-30,quarterly,6051000000.0,733000000.0,4885000000.0,637000000.0,5414000000.0,65000000.0
NWL,2021-09-30,quarterly,5692000000.0,373000000.0,4884000000.0,494000000.0,5198000000.0,65000000.0
NWL,2021-12-31,quarterly,5508000000.0,125000000.0,4883000000.0,440000000.0,5068000000.0,59000000.0
NWL,2022-03-31,quarterly,5539000000.0,128000000.0,4880000000.0,344000000.0,5195000000.0,59000000.0
NWL,2022-06-30,quarterly,5876000000.0,1583000000.0,3793000000.0,323000000.0,5553000000.0,55000000.0
NWL,2022-09-30,quarterly,6481000000.0,1200000000.0,4762000000.0,636000000.0,5845000000.0,57000000.0
NWL,2022-12-31,quarterly,6010000000.0,742000000.0,4756000000.0,287000000.0,5723000000.0,64000000.0
NWL,2023-03-31,quarterly,6254000000.0,973000000.0,4776000000.0,271000000.0,5983000000.0,68000000.0
NWL,2023-06-30,quarterly,5957000000.0,722000000.0,4753000000.0,317000000.0,5640000000.0,76000000.0
NWL,2023-09-30,quarterly,5690000000.0,495000000.0,4737000000.0,396000000.0,5294000000.0,69000000.0
NWL,2023-12-31,quarterly,5472000000.0,451000000.0,4575000000.0,332000000.0,5140000000.0,70000000.0
NWL,2024-03-31,quarterly,5531000000.0,551000000.0,4558000000.0,372000000.0,5159000000.0,70000000.0
NWL,2024-06-30,quarterly,5573000000.0,1100000000.0,4059000000.0,382000000.0,5191000000.0,78000000.0
NWL,2024-09-30,quarterly,5499000000.0,985000000.0,4092000000.0,494000000.0,5005000000.0,75000000.0
NWL,2024-12-31,quarterly,5123000000.0,197000000.0,4508000000.0,198000000.0,4925000000.0,72000000.0
NWL,2025-03-31,quarterly,5464000000.0,509000000.0,4523000000.0,233000000.0,5231000000.0,72000000.0
NWL,2025-06-30,quarterly,5634000000.0,657000000.0,4535000000.0,219000000.0,5415000000.0,82000000.0
NWL,2025-09-30,quarterly,5327000000.0,351000000.0,4540000000.0,229000000.0,5098000000.0,83000000.0
NWL,2025-12-31,quarterly,5652000000.0,243000000.0,4543000000.0,203000000.0,5449000000.0,84000000.0
NWN,2018-03-31,quarterly,808282000.0,124785000.0,683497000.0,11215000.0,797067000.0,9274000.0
NWN,2018-06-30,quarterly,805780000.0,121885000.0,683895000.0,8755000.0,797025000.0,8771000.0
NWN,2018-09-30,quarterly,910094000.0,185440000.0,724654000.0,29965000.0,880129000.0,9006000.0
NWN,2018-12-31,quarterly,953856000.0,247609000.0,706247000.0,12633000.0,941223000.0,10008000.0
NWN,2019-03-31,quarterly,919184000.0,285205000.0,632484000.0,12817000.0,906367000.0,10205000.0
NWN,2019-06-30,quarterly,935469000.0,128747000.0,806001000.0,60885000.0,874584000.0,10654000.0
NWN,2019-09-30,quarterly,970168000.0,163422000.0,806014000.0,10522000.0,959646000.0,10948000.0
NWN,2019-12-31,quarterly,1033106000.0,226310000.0,805955000.0,16450000.0,1023458000.0,10878000.0
NWN,2020-03-31,quarterly,1584340000.0,551273000.0,953962000.0,473336000.0,1113261000.0,10468000.0
NWN,2020-06-30,quarterly,1268186000.0,269140000.0,918887000.0,143053000.0,1131129000.0,12706000.0
NWN,2020-09-30,quarterly,1260343000.0,319254000.0,860235000.0,35926000.0,1224417000.0,9165000.0
NWN,2020-12-31,quarterly,1341676000.0,400974000.0,860081000.0,30168000.0,1311508000.0,10713000.0
NWN,2021-03-31,quarterly,1273771000.0,332703000.0,860654000.0,17907000.0,1255864000.0,11126000.0
NWN,2021-06-30,quarterly,1297091000.0,301502000.0,915501000.0,20084000.0,1277007000.0,11028000.0
NWN,2021-09-30,quarterly,1396806000.0,400991000.0,916026000.0,19502000.0,1377304000.0,11175000.0
NWN,2021-12-31,quarterly,1515196000.0,391141000.0,1044587000.0,18559000.0,1496637000.0,11157000.0
NWN,2022-03-31,quarterly,1457971000.0,334142000.0,1044667000.0,24325000.0,1433646000.0,11522000.0
NWN,2022-06-30,quarterly,1348722000.0,224366000.0,1045530000.0,17209000.0,1331513000.0,11580000.0
NWN,2022-09-30,quarterly,1558450000.0,192975000.0,1287006000.0,108556000.0,1449894000.0,13054000.0
NWN,2022-12-31,quarterly,1675543000.0,350411000.0,1246167000.0,29270000.0,1646273000.0,17091000.0
NWN,2023-03-31,quarterly,1687804000.0,314912000.0,1294590000.0,140821000.0,1546983000.0,18296000.0
NWN,2023-06-30,quarterly,1655975000.0,283446000.0,1294578000.0,137759000.0,1518216000.0,18974000.0
NWN,2023-09-30,quarterly,1765590000.0,263543000.0,1424572000.0,156616000.0,1608974000.0,19406000.0
NWN,2023-12-31,quarterly,1745580000.0,242978000.0,1425435000.0,32920000.0,1712660000.0,19890000.0
NWN,2024-03-31,quarterly,1749408000.0,97622000.0,1574735000.0,72375000.0,1677033000.0,20531000.0
