ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense,fiscal_year
SMPL,2023-08-31,annual,327704000.0,7709000.0,281649000.0,87715000.0,239989000.0,30068000.0,2023
SMPL,2024-08-31,annual,437309000.0,5494000.0,397485000.0,132530000.0,304779000.0,26029000.0,2024
SMPL,2025-08-31,annual,304427000.0,5867000.0,249066000.0,98468000.0,205959000.0,23249000.0,2025
SSTK,2018-12-31,annual,74356000.0,74356000.0,,230852000.0,-230852000.0,0.0,2018
SSTK,2019-12-31,annual,47313000.0,79057000.0,,303261000.0,-255948000.0,54676000.0,2019
SSTK,2020-12-31,annual,41620000.0,9097000.0,,428574000.0,-386954000.0,7324000.0,2020
SSTK,2021-12-31,annual,36966000.0,8364000.0,,314017000.0,-277051000.0,67000.0,2021
SSTK,2022-12-31,annual,85611000.0,50000000.0,,115154000.0,-29543000.0,1336000.0,2022
SSTK,2023-12-31,annual,59404000.0,30000000.0,,100490000.0,-41086000.0,1856000.0,2023
SSTK,2024-12-31,annual,310786000.0,167823000.0,119598000.0,111251000.0,199535000.0,10561000.0,2024
SSTK,2025-12-31,annual,317578000.0,166445000.0,116639000.0,178244000.0,139334000.0,16826000.0,2025
TDW,2018-12-31,annual,439004000.0,8568000.0,430436000.0,371791000.0,67213000.0,30439000.0,2018
TDW,2019-12-31,annual,288934000.0,9890000.0,279044000.0,218290000.0,70644000.0,29068000.0,2019
TDW,2020-12-31,annual,192731000.0,27797000.0,164934000.0,149933000.0,42798000.0,24156000.0,2020
TDW,2021-12-31,annual,169290000.0,1405000.0,167885000.0,149037000.0,18848000.0,15583000.0,2021
TDW,2022-12-31,annual,171147000.0,2111000.0,169036000.0,164192000.0,4844000.0,17189000.0,2022
TDW,2023-12-31,annual,734438000.0,103077000.0,631361000.0,274437000.0,460001000.0,48472000.0,2023
TDW,2024-12-31,annual,637096000.0,65386000.0,571710000.0,324918000.0,312178000.0,72967000.0,2024
TDW,2025-12-31,annual,654893000.0,5845000.0,649048000.0,578761000.0,76132000.0,66090000.0,2025
WSR,2018-12-31,annual,624335000.0,6130000.0,618205000.0,13658000.0,604547000.0,25177000.0,2018
WSR,2019-12-31,annual,655650000.0,10951000.0,644699000.0,15530000.0,629169000.0,26285000.0,2019
WSR,2020-12-31,annual,646014000.0,1829000.0,644185000.0,25777000.0,618408000.0,25770000.0,2020
WSR,2021-12-31,annual,744804000.0,101962000.0,642842000.0,15721000.0,627121000.0,24564000.0,2021
WSR,2022-12-31,annual,626897000.0,735000.0,625427000.0,6166000.0,619996000.0,27193000.0,2022
WSR,2023-12-31,annual,640893000.0,63834000.0,640172000.0,7185000.0,636321000.0,32866000.0,2023
WSR,2024-12-31,annual,632357000.0,429000.0,631518000.0,5224000.0,627133000.0,34035000.0,2024
WSR,2025-12-31,annual,643925000.0,17476000.0,643925000.0,4888000.0,639037000.0,33672000.0,2025
