ticker,name,sector,industry,period_end,fiscal_year,total_debt,net_debt,ebitda,interest_expense,fcf,cash,interest_coverage_ebit,net_debt_to_ebitda,debt_to_equity,fcf_to_debt,implied_cost_of_debt,debt_5y_pct,interest_5y_pct,ebitda_5y_pct,cash_5y_pct,score_coverage,score_leverage,score_fcf,score_trend,stress_score
GPI,Group 1 Automotive Inc,Consumer Cyclical,Auto & Truck Dealerships,2025-12-31,2025,5870300000.0,5837800000.0,855400000.0,284400000.0,424500000.0,32500000.0,2.5819268635724333,6.824643441664718,2.104729124090208,0.0723131696846839,0.0512086428089128,121.53747452637936,181.30563798219583,53.379953379953385,-52.89855072463768,74.18073136427566,85.30804302080898,5.537366063063219,100.0,66.3
VAC,Marriot Vacations Worldwide,Consumer Cyclical,Resorts & Casinos,2025-12-31,2025,5753000000.0,5020000000.0,19000000.0,169000000.0,-29000000.0,733000000.0,-0.7692307692307693,264.2105263157895,2.8866031108881085,-0.0050408482530853,0.0307888504281289,30.571947344530194,12.666666666666671,-128.3582089552239,39.885496183206115,100.0,100.0,21.00816965061706,8.444444444444448,57.4
NWL,Newell Brands Inc,Consumer Defensive,Household & Personal Products,2025-12-31,2025,5652000000.0,5449000000.0,331000000.0,321000000.0,17000000.0,203000000.0,0.0623052959501557,16.462235649546827,2.3638644918444167,0.0030077848549186,0.0595823665893271,-8.95618556701031,17.15328467153285,-188.26666666666668,-79.30682976554536,99.37694704049844,100.0,19.39844302901628,11.435523114355234,57.6
DEI,Douglas Emmett Inc,Real Estate,REIT - Office,2025-12-31,2025,5566115000.0,5225326000.0,654177000.0,266675000.0,194456000.0,340789000.0,0.9571388394112684,7.987633316365448,2.9225247656016595,0.0349356777572867,0.0481581918271661,10.570794537844087,86.6530880788398,24.09434712373326,97.6906343359341,90.42861160588731,99.84541645456811,13.012864448542661,57.7687253858932,65.3
CRGY,Crescent Energy Co,Energy,Oil & Gas E&P,2025-12-31,2025,5532216000.0,5531926000.0,1667004000.0,298432000.0,729121000.0,290000.0,1.6757653334763027,3.3184839388507767,1.0710067980721856,0.1317954685789564,0.0688773049151058,614.0259579345166,683.1422048442544,757.9669269211568,-99.21326062776376,83.24234666523697,41.48104923563471,0.0,100.0,56.2
TRN,Trinity Industries Inc,Industrials,Railroads,2025-12-31,2025,5442500000.0,5241200000.0,954700000.0,274200000.0,-435200000.0,201300000.0,2.3690736688548504,5.4898921127055615,5.052450798366134,-0.0799632521819017,0.0487605363303339,7.512543953221917,26.944444444444436,-1832.6678765880217,52.49999999999999,76.3092633114515,68.62365140881951,35.992650436380345,17.96296296296296,49.7
FUN,Six Flags Entertainment Corporation,Consumer Cyclical,Leisure,2025-12-31,2025,5427325000.0,5336191000.0,-791019000.0,359958000.0,-152198000.0,91134000.0,-3.548752910061729,,9.872225365024912,-0.0280429124845112,0.0679753447318626,82.958813303178,138.90647711208013,88.36476639519933,-75.82755108536507,100.0,100.0,25.60858249690224,92.60431807472008,79.6
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,2025-12-31,2025,5224000000.0,2101000000.0,320000000.0,139000000.0,-298000000.0,3123000000.0,0.3453237410071942,6.565625,2.37670609645132,-0.0570444104134762,0.0312008978675645,71.4201523027364,196.46376317024271,-66.24408480329795,274.0155594305095,96.54676258992805,82.0703125,31.408882082695243,100.0,77.5
MAC,Macerich Company,Real Estate,REIT - Retail,2025-12-31,2025,5202904000.0,5159897000.0,404926000.0,216343000.0,321604000.0,43007000.0,0.1821320773031713,12.74281473651976,2.1246133422299502,0.0618124032271208,0.0421415864819207,-36.06637128613167,186.35737921906022,160.0697499662811,-90.75708633410488,98.17867922696828,100.0,7.63751935457584,100.0,76.5
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,2025-12-31,2025,5077000000.0,4511000000.0,1289000000.0,208000000.0,424000000.0,566000000.0,3.730769230769231,3.499612102404965,0.8517027344405301,0.0835138861532401,0.040251572327044,-9.62976148095408,1.4634146341463428,-1.5278838808250539,0.35460992907800915,62.69230769230769,43.74515128006206,3.297222769351979,0.9756097560975618,27.7
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,2025-12-31,2025,5061000000.0,4742000000.0,1455000000.0,224000000.0,847000000.0,319000000.0,4.683035714285714,3.259106529209622,0.7742083524552547,0.1673582295988935,0.0419868791002811,17.946953934268528,102.1441721113237,10.883754958332847,2.1931482537465463,53.169642857142854,40.738831615120276,0.0,68.09611474088247,40.5
OI,O-I Glass Inc,Consumer Cyclical,Packaging & Containers,2025-12-31,2025,4999000000.0,4240000000.0,781000000.0,341000000.0,168000000.0,759000000.0,0.8563049853372434,5.428937259923176,3.86321483771252,0.0336067213442688,0.0670072705836117,-2.781019058732015,28.67924528301886,-28.084714548802946,34.813499111900526,91.43695014662757,67.8617157490397,13.278655731146241,19.119496855345908,47.9
CC,Chemours Co,Basic Materials,Specialty Chemicals,2025-12-31,2025,4585000000.0,3913000000.0,332000000.0,269000000.0,51000000.0,672000000.0,-0.0297397769516728,11.786144578313252,18.34,0.011123227917121,0.0601789709172259,7.201309328968897,28.095238095238084,-56.714471968709255,-39.18552036199095,100.0,100.0,17.7753544165758,18.730158730158724,59.1
DXC,DXC Technology Co,Technology,Information Technology Services,2025-03-31,2025,4547000000.0,2751000000.0,2208000000.0,265000000.0,822000000.0,1796000000.0,3.3773584905660377,1.2459239130434785,1.4081759058532053,0.1807785352979986,0.0562931492299522,-60.436787609849475,-30.809399477806785,-178.49271240668324,-51.18238651807556,66.22641509433961,15.57404891304348,0.0,0.0,20.5
KW,Kennedy-Wilson Holdings Inc,Real Estate,Real Estate Services,2025-12-31,2025,4507500000.0,4510000000.0,410000000.0,239600000.0,312400000.0,-2500000.0,1.156093489148581,11.0,2.9362907953879227,0.0693067110371602,0.0515690241487667,-11.522229855726762,18.67261020307083,-23.06248827172077,-100.25904051393637,88.43906510851419,100.0,6.13865779256796,12.448406802047218,51.8
SAFE,Safehold Inc,Real Estate,REIT - Diversified,2025-12-31,2025,4491509000.0,4469804000.0,332795000.0,206686000.0,47814000.0,23733000.0,1.5688000154824226,13.431103231719227,1.865003730830445,0.0106454200581586,0.0474087320092089,165.69775764911049,221.1704012182615,144.84082899877134,-58.32513872304559,84.31199984517578,100.0,17.87091598836828,100.0,75.5
SABR,Sabre Corpo,Technology,Software - Infrastructure,2025-12-31,2025,4454892999.0,3663337999.0,456796000.0,446841000.0,-213410000.0,791555000.0,0.7852368068283797,8.019636772213417,,-0.0479046298189214,0.0933592422646814,-7.981072790888522,97.90552959674027,-163.8508493718995,-47.217878659567305,92.1476319317162,100.0,29.58092596378428,65.2703530644935,71.7
RHP,Ryman Hospitality Properties Inc,Real Estate,REIT - Hotel & Motel,2025-12-31,2025,4294543000.0,3794363000.0,774004000.0,241270000.0,232394000.0,500180000.0,2.055390226716956,4.902252443139829,5.724897087523595,0.0541137904545373,0.0618002739734448,49.55346835554122,108.38119585776842,-852.3952095808384,782.1983526465244,79.44609773283044,61.278155539247855,9.17724190909254,72.25413057184561,55.5
FBRT,Franklin BSP Realty Trust Inc,Real Estate,REIT - Mortgage,2025-12-31,2025,4239320000.0,4054139000.0,385889000.0,288327000.0,291940000.0,185181000.0,1.3051014993392918,10.505971924568982,2.7684848882884,0.0688648179425002,0.0674270342588696,97.24996882578358,333.20962798245085,528.4427724578204,125.63512081003032,86.94898500660707,100.0,6.227036411499961,100.0,73.3
SAH,Sonic Automotive Inc,Consumer Cyclical,Auto & Truck Dealerships,2025-12-31,2025,4228100000.0,4221800000.0,531000000.0,194800000.0,417500000.0,6300000.0,1.8870636550308009,7.950659133709981,3.958524482726336,0.0987441167427449,0.0466196003350484,72.64463852669172,181.75125471875498,323.4517296926586,-96.30092829085272,81.129363449692,99.38323917137475,0.25117665145101853,100.0,70.2
