ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense
LPG,2019-12-31,quarterly,651384090.0,64361937.0,586305003.0,64691247.0,586692843.0,8778905.0
LPG,2020-03-31,quarterly,662124732.0,62553699.0,581919094.0,63309072.0,613735044.0,8325981.0
LPG,2020-06-30,quarterly,672119445.0,62575491.0,594246205.0,157914504.0,529185471.0,9087236.0
LPG,2020-09-30,quarterly,656831653.0,79563332.0,564343412.0,145059032.0,511772621.0,6665144.0
LPG,2020-12-31,quarterly,623958372.0,61330154.0,552103044.0,133593851.0,490364521.0,6087193.0
LPG,2021-03-31,quarterly,609348723.0,61615967.0,539651761.0,79330007.0,530018716.0,5756551.0
LPG,2021-06-30,quarterly,594453073.0,61466846.0,527317928.0,78254455.0,516198618.0,5649774.0
LPG,2021-09-30,quarterly,579784083.0,76139661.0,500391565.0,98105235.0,481678848.0,5557707.0
LPG,2021-12-31,quarterly,586775397.0,79234809.0,506737795.0,115807905.0,470967492.0,7412231.0
LPG,2022-03-31,quarterly,670836322.0,80148935.0,590687387.0,236758927.0,434077395.0,8447683.0
LPG,2022-06-30,quarterly,663444483.0,57714965.0,605106749.0,155518158.0,507926325.0,7958554.0
LPG,2022-09-30,quarterly,646196936.0,55503353.0,589960853.0,141286758.0,504910178.0,11997163.0
LPG,2022-12-31,quarterly,668223463.0,60532758.0,577202083.0,129816670.0,538406793.0,8636387.0
LPG,2023-03-31,quarterly,815557384.0,76518231.0,604256670.0,148797232.0,666760152.0,9211683.0
LPG,2023-06-30,quarterly,796766476.0,76779255.0,591226676.0,155548745.0,641217731.0,10403849.0
LPG,2023-09-30,quarterly,838741228.0,84796254.0,578167289.0,192044128.0,646697100.0,10314881.0
LPG,2023-12-31,quarterly,817690185.0,85375599.0,564686247.0,208460209.0,609229976.0,10076638.0
LPG,2024-03-31,quarterly,796809978.0,86034437.0,551549215.0,294038910.0,514302007.0,9685060.0
LPG,2024-06-30,quarterly,775876840.0,86729732.0,538411109.0,364911003.0,422590334.0,9518430.0
LPG,2024-09-30,quarterly,754815961.0,87438512.0,525241805.0,358522021.0,406187519.0,9438273.0
LPG,2024-12-31,quarterly,733511467.0,88123993.0,512031157.0,324533508.0,418979295.0,8884000.0
LPG,2025-03-31,quarterly,712980417.0,89786903.0,498773969.0,316877584.0,396102833.0,7971721.0
LPG,2025-06-30,quarterly,690377516.0,89508560.0,485497697.0,277921450.0,412456066.0,7714797.0
LPG,2025-09-30,quarterly,698470254.0,101436295.0,472188449.0,268302757.0,430167497.0,7599108.0
LPG,2025-12-31,quarterly,786256976.0,145558667.0,415437178.0,294492379.0,491764597.0,7066278.0
LUMN,2018-03-31,quarterly,37377000000.0,437000000.0,36940000000.0,501000000.0,36876000000.0,535000000.0
LUMN,2018-06-30,quarterly,37315000000.0,437000000.0,36878000000.0,700000000.0,36615000000.0,546000000.0
LUMN,2018-09-30,quarterly,36527000000.0,778000000.0,35749000000.0,390000000.0,36137000000.0,557000000.0
LUMN,2018-12-31,quarterly,36061000000.0,652000000.0,35213000000.0,488000000.0,35573000000.0,539000000.0
LUMN,2019-03-31,quarterly,35490000000.0,1193000000.0,34668000000.0,441000000.0,35049000000.0,523000000.0
LUMN,2019-06-30,quarterly,34788000000.0,2083000000.0,33193000000.0,410000000.0,34378000000.0,518000000.0
LUMN,2019-09-30,quarterly,35125000000.0,2163000000.0,33381000000.0,1404000000.0,33721000000.0,496000000.0
LUMN,2019-12-31,quarterly,36452000000.0,2716000000.0,32394000000.0,1693000000.0,34759000000.0,484000000.0
LUMN,2020-03-31,quarterly,36342000000.0,1545000000.0,33481000000.0,1567000000.0,34775000000.0,449000000.0
LUMN,2020-06-30,quarterly,34773000000.0,3359000000.0,31414000000.0,1766000000.0,33007000000.0,414000000.0
LUMN,2020-09-30,quarterly,32993000000.0,1888000000.0,31105000000.0,526000000.0,32467000000.0,409000000.0
LUMN,2020-12-31,quarterly,34267000000.0,2806000000.0,29410000000.0,406000000.0,33861000000.0,396000000.0
LUMN,2021-03-31,quarterly,31827000000.0,4228000000.0,27599000000.0,486000000.0,31341000000.0,389000000.0
LUMN,2021-06-30,quarterly,31558000000.0,2984000000.0,28574000000.0,937000000.0,30621000000.0,384000000.0
LUMN,2021-09-30,quarterly,30150000000.0,2890000000.0,27260000000.0,637000000.0,29513000000.0,377000000.0
LUMN,2021-12-31,quarterly,31174000000.0,1939000000.0,27428000000.0,354000000.0,30820000000.0,372000000.0
LUMN,2022-03-31,quarterly,28936000000.0,539000000.0,28397000000.0,368000000.0,28568000000.0,352000000.0
LUMN,2022-06-30,quarterly,28521000000.0,556000000.0,27965000000.0,361000000.0,28160000000.0,337000000.0
LUMN,2022-09-30,quarterly,25634000000.0,3870000000.0,21764000000.0,253000000.0,25381000000.0,363000000.0
LUMN,2022-12-31,quarterly,22004000000.0,498000000.0,20418000000.0,1251000000.0,20753000000.0,280000000.0
LUMN,2023-03-31,quarterly,20222000000.0,479000000.0,19743000000.0,1148000000.0,19074000000.0,279000000.0
LUMN,2023-06-30,quarterly,20376000000.0,477000000.0,19899000000.0,411000000.0,19965000000.0,294000000.0
LUMN,2023-09-30,quarterly,20191000000.0,451000000.0,19740000000.0,311000000.0,19880000000.0,295000000.0
