ticker,name,sector,industry,period_end,fiscal_year,total_debt,net_debt,ebitda,interest_expense,fcf,cash,interest_coverage_ebit,net_debt_to_ebitda,debt_to_equity,fcf_to_debt,implied_cost_of_debt,debt_5y_pct,interest_5y_pct,ebitda_5y_pct,cash_5y_pct,score_coverage,score_leverage,score_fcf,score_trend,stress_score
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,2025-12-31,2025,5224000000.0,2101000000.0,320000000.0,139000000.0,-298000000.0,3123000000.0,0.3453237410071942,6.565625,2.37670609645132,-0.0570444104134762,0.0312008978675645,71.4201523027364,196.46376317024271,-66.24408480329795,274.0155594305095,96.54676258992805,82.0703125,31.408882082695243,100.0,77.5
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,2025-12-31,2025,5077000000.0,4511000000.0,1289000000.0,208000000.0,424000000.0,566000000.0,3.730769230769231,3.499612102404965,0.8517027344405301,0.0835138861532401,0.040251572327044,-9.62976148095408,1.4634146341463428,-1.5278838808250539,0.35460992907800915,62.69230769230769,43.74515128006206,3.297222769351979,0.9756097560975618,27.7
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,2025-12-31,2025,5061000000.0,4742000000.0,1455000000.0,224000000.0,847000000.0,319000000.0,4.683035714285714,3.259106529209622,0.7742083524552547,0.1673582295988935,0.0419868791002811,17.946953934268528,102.1441721113237,10.883754958332847,2.1931482537465463,53.169642857142854,40.738831615120276,0.0,68.09611474088247,40.5
OI,O-I Glass Inc,Consumer Cyclical,Packaging & Containers,2025-12-31,2025,4999000000.0,4240000000.0,781000000.0,341000000.0,168000000.0,759000000.0,0.8563049853372434,5.428937259923176,3.86321483771252,0.0336067213442688,0.0670072705836117,-2.781019058732015,28.67924528301886,-28.084714548802946,34.813499111900526,91.43695014662757,67.8617157490397,13.278655731146241,19.119496855345908,47.9
CC,Chemours Co,Basic Materials,Specialty Chemicals,2025-12-31,2025,4585000000.0,3913000000.0,332000000.0,269000000.0,51000000.0,672000000.0,-0.0297397769516728,11.786144578313252,18.34,0.011123227917121,0.0601789709172259,7.201309328968897,28.095238095238084,-56.714471968709255,-39.18552036199095,100.0,100.0,17.7753544165758,18.730158730158724,59.1
DXC,DXC Technology Co,Technology,Information Technology Services,2025-03-31,2025,4547000000.0,2751000000.0,2208000000.0,265000000.0,822000000.0,1796000000.0,3.3773584905660377,1.2459239130434785,1.4081759058532053,0.1807785352979986,0.0562931492299522,-60.436787609849475,-30.809399477806785,-178.49271240668324,-51.18238651807556,66.22641509433961,15.57404891304348,0.0,0.0,20.5
SABR,Sabre Corpo,Technology,Software - Infrastructure,2025-12-31,2025,4454892999.0,3663337999.0,456796000.0,446841000.0,-213410000.0,791555000.0,0.7852368068283797,8.019636772213417,,-0.0479046298189214,0.0933592422646814,-7.981072790888522,97.90552959674027,-163.8508493718995,-47.217878659567305,92.1476319317162,100.0,29.58092596378428,65.2703530644935,71.7
SAH,Sonic Automotive Inc,Consumer Cyclical,Auto & Truck Dealerships,2025-12-31,2025,4228100000.0,4221800000.0,531000000.0,194800000.0,417500000.0,6300000.0,1.8870636550308009,7.950659133709981,3.958524482726336,0.0987441167427449,0.0466196003350484,72.64463852669172,181.75125471875498,323.4517296926586,-96.30092829085272,81.129363449692,99.38323917137475,0.25117665145101853,100.0,70.2
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,2025-12-31,2025,4198800000.0,3614300000.0,-84700000.0,1628300000.0,-176500000.0,584500000.0,-0.1586317017748572,,2.026937002172339,-0.0420358197580261,0.4232263765968784,21.89867905356366,976.2062128222075,-108.17015530047264,2.742133942696423,100.0,100.0,28.40716395160522,100.0,82.1
DCH,Dauch Corporation,Consumer Cyclical,Auto Parts,2025-12-31,2025,4174300000.0,3465400000.0,695500000.0,202500000.0,155100000.0,708900000.0,1.165432098765432,4.982602444284687,6.52234375,0.0371559303356251,0.0585954454700656,16.861702127659584,-4.616109279321712,461.3397901533495,27.27109515260324,88.34567901234568,62.28253055355859,12.56881393287498,0.0,40.8
LW,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,2025-05-31,2025,4155300000.0,4084600000.0,1072600000.0,180000000.0,230100000.0,70700000.0,3.695,3.8081297781092673,2.3912643148990043,0.0553750631723341,0.0449550449550449,16.443883984867604,66.66666666666667,45.10281385281385,-94.81671554252199,63.050000000000004,47.60162222636584,8.92498736553318,44.44444444444445,41.0
WEN,The Wendy’s Co,Consumer Cyclical,Restaurants,2025-12-31,2025,4145016000.0,3844183000.0,524582000.0,126467000.0,242616000.0,300833000.0,2.796879818450663,7.328087887117743,35.31189354506189,0.0585319815412051,0.0307048840302894,12.759573849346717,7.414831361424201,30.070145075587583,-2.005283576935979,72.03120181549338,91.60109858897178,8.29360369175898,4.943220907616134,44.2
WSC,Willscot Mobile Mini Holdings Corp A,Industrials,Rental & Leasing Services,2025-12-31,2025,4142786000.0,4128199000.0,597298000.0,222698000.0,737654000.0,14587000.0,0.7511383128721407,6.911456258015262,4.838267616852009,0.1780574714696824,0.0548642983324133,53.3142078504778,86.64085351033783,61.51919956733369,-41.50459157075831,92.4886168712786,86.39320322519077,0.0,57.76056900689189,59.2
MTCH,Match Group Inc,Communication Services,Internet Content & Information,2025-12-31,2025,3972679000.0,2944841000.0,999214000.0,147551000.0,1023615000.0,1031299000.0,6.055899316168647,2.9471574657680937,,0.2576636571945531,0.0377288100661982,3.430132806377628,12.958568103870661,24.45883213115325,39.5223522790612,39.44100683831353,36.83946832210117,0.0,8.639045402580441,21.2
PRGO,Perrigo Company PLC,Healthcare,Drug Manufacturers - Specialty & Generic,2025-12-31,2025,3968900000.0,3437300000.0,-797900000.0,162500000.0,145100000.0,531600000.0,-6.987076923076923,,1.3520354283767673,0.0365592481544004,0.0428364307367866,6.527632391228488,27.25137039937353,-253.9158950617284,-15.81947743467933,100.0,100.0,12.68815036911992,18.167580266249022,57.7
MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans,2025-12-31,2025,3950000000.0,-298000000.0,976000000.0,192000000.0,-636000000.0,4248000000.0,4.067708333333333,-0.305327868852459,0.970754485131482,-0.1610126582278481,0.0543293718166383,-18.100767157370935,88.23529411764706,-15.204170286707209,-29.54055398905291,59.32291666666667,0.0,52.20253164556962,58.8235294117647,42.6
KNTK,Kinetik Holdings Inc,Energy,Oil & Gas Midstream,2025-12-31,2025,3865567000.0,3861616000.0,1192672000.0,233371000.0,74449000.0,3951000.0,3.4709839697306006,3.2377854095677603,,0.0192595290677926,0.0630736353225979,57.48737535775761,10556.210045662101,-247.70681855053942,-79.83257618294115,65.29016030269399,40.47231761959701,16.14809418644148,100.0,55.5
CNK,Cinemark Holdings Inc,Communication Services,Entertainment,2025-12-31,2025,3782800000.0,3438500000.0,543700000.0,163600000.0,177200000.0,344300000.0,2.089242053789731,6.324259702041567,9.33563672260612,0.046843607909485,0.045200237605161,-3.778233093847261,6.603417043514526,-205.7782101167315,-47.46222559961425,79.10757946210269,79.05324627551958,10.631278418103001,4.4022780290096835,43.3
SEM,Select Medical Holdings,Healthcare,Medical Care Facilities,2025-12-31,2025,3704076000.0,3677553000.0,530635000.0,117583000.0,382735000.0,26523000.0,3.3196295382835954,6.930475750751458,2.171734725466468,0.1033280634630607,0.0366964145134704,-17.646920193632486,-23.15389089673291,-22.34276398206362,-95.40377880328076,66.80370461716404,86.63094688439323,0.0,0.0,38.4
ENR,Energizer Holdings Inc,Industrials,Electrical Equipment & Parts,2025-09-30,2025,3532700000.0,3296500000.0,587200000.0,154300000.0,63200000.0,236200000.0,2.9844458846403112,5.613930517711172,20.79281930547381,0.0178899991507911,0.0451103639818739,-17.467993645453696,-20.87179487179487,58.574129084526064,-81.10097615618498,70.15554115359689,70.17413147138964,16.42200016984178,0.0,39.2
DAN,Dana Inc,Consumer Cyclical,Auto Parts,2025-12-31,2025,3518000000.0,3042000000.0,570000000.0,181000000.0,298000000.0,476000000.0,1.1767955801104972,5.336842105263158,4.085946573751452,0.0847072200113701,0.0562898460581558,32.70463975858166,31.159420289855078,5.166051660516602,-17.931034482758623,88.23204419889503,66.71052631578948,3.058555997725982,20.772946859903385,44.7
