ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense,fiscal_year
AKR,2021-12-31,annual,1925365000.0,112905000.0,1812460000.0,17746000.0,1833473000.0,68048000.0,2021
AKR,2022-12-31,annual,1961347000.0,168287000.0,1624773000.0,17158000.0,1811173000.0,80209000.0,2022
AKR,2023-12-31,annual,1934460000.0,213287000.0,1656854000.0,50765000.0,1916979000.0,93253000.0,2023
AKR,2024-12-31,annual,1596560000.0,14000000.0,1523266000.0,31577000.0,1579754000.0,92557000.0,2024
AKR,2025-12-31,annual,1920990000.0,89500000.0,1862906000.0,38818000.0,1882172000.0,95311000.0,2025
ALG,2018-12-31,annual,85298000.0,119000.0,85179000.0,34043000.0,51255000.0,5493000.0,2018
ALG,2019-12-31,annual,443981000.0,18840000.0,425141000.0,42311000.0,401670000.0,10747000.0,2019
ALG,2020-12-31,annual,289066000.0,18746000.0,270320000.0,50195000.0,238871000.0,15837000.0,2020
ALG,2021-12-31,annual,274209000.0,19687000.0,254522000.0,42115000.0,232094000.0,10533000.0,2021
ALG,2022-12-31,annual,306637000.0,19694000.0,286943000.0,47016000.0,259621000.0,14361000.0,2022
ALG,2023-12-31,annual,240572000.0,20303000.0,220269000.0,51919000.0,188653000.0,26093000.0,2023
ALG,2024-12-31,annual,226930000.0,21457000.0,205473000.0,197274000.0,29656000.0,20548000.0,2024
ALG,2025-12-31,annual,220290000.0,21146000.0,190748000.0,309659000.0,-89369000.0,14877000.0,2025
ALGT,2018-12-31,annual,1271733000.0,152287000.0,1119446000.0,396000000.0,1190213000.0,53762000.0,2018
ALGT,2019-12-31,annual,1445805000.0,175936000.0,1248579000.0,472713000.0,1309020000.0,76801000.0,2019
ALGT,2020-12-31,annual,1775613000.0,231547000.0,1441777000.0,685241000.0,1622849000.0,57648000.0,2020
ALGT,2021-12-31,annual,1876687000.0,149134000.0,1612486000.0,1220179000.0,1475986000.0,68474000.0,2021
ALGT,2022-12-31,annual,2211923000.0,172873000.0,1944078000.0,955052000.0,1981934000.0,103071000.0,2022
ALGT,2023-12-31,annual,2362937000.0,460810000.0,1819717000.0,830998000.0,2203353000.0,108054000.0,2023
ALGT,2024-12-31,annual,2149610000.0,475483000.0,1611735000.0,797553000.0,1847291000.0,111058000.0,2024
ALGT,2025-12-31,annual,1864722000.0,129011000.0,1681541000.0,805655000.0,1692026000.0,132631000.0,2025
ALKS,2018-12-31,annual,279308000.0,2843000.0,276465000.0,539295000.0,12546000.0,15437000.0,2018
ALKS,2019-12-31,annual,290946000.0,11309000.0,274295000.0,534979000.0,87175000.0,13601000.0,2019
ALKS,2020-12-31,annual,410157000.0,18575000.0,272118000.0,635027000.0,137196000.0,8659000.0,2020
ALKS,2021-12-31,annual,416206000.0,19240000.0,292804000.0,536311000.0,78662000.0,11219000.0,2021
ALKS,2022-12-31,annual,379435000.0,12878000.0,290270000.0,608465000.0,86962000.0,13040000.0,2022
ALKS,2023-12-31,annual,372185000.0,8746000.0,287730000.0,773491000.0,-85284000.0,23032000.0,2023
ALKS,2024-12-31,annual,75538000.0,6166000.0,,751668000.0,-215608000.0,22578000.0,2024
ALKS,2025-12-31,annual,69999000.0,6746000.0,,1319421000.0,-1049777000.0,12277000.0,2025
ALRM,2018-12-31,annual,115241000.0,48241000.0,67000000.0,146061000.0,-79061000.0,2918000.0,2018
ALRM,2019-12-31,annual,107882000.0,7683000.0,63000000.0,119629000.0,-11747000.0,2974000.0,2019
ALRM,2020-12-31,annual,157670000.0,9973000.0,110000000.0,253459000.0,-95789000.0,2596000.0,2020
ALRM,2021-12-31,annual,468267000.0,10331000.0,425345000.0,710621000.0,-242354000.0,15956000.0,2021
ALRM,2022-12-31,annual,529907000.0,12157000.0,490370000.0,622165000.0,-92258000.0,3144000.0,2022
ALRM,2023-12-31,annual,526026000.0,12043000.0,493515000.0,696983000.0,-170957000.0,3429000.0,2023
ALRM,2024-12-31,annual,1056711000.0,7700000.0,983477000.0,1220701000.0,-163990000.0,11426000.0,2024
ALRM,2025-12-31,annual,1133250000.0,508391000.0,489641000.0,960584000.0,170566000.0,17294000.0,2025
AMN,2018-12-31,annual,642840000.0,202233000.0,440607000.0,13856000.0,426751000.0,16143000.0,2018
AMN,2019-12-31,annual,722311000.0,13943000.0,617159000.0,82985000.0,639326000.0,28427000.0,2019
AMN,2020-12-31,annual,955481000.0,19720000.0,857961000.0,29213000.0,926268000.0,57742000.0,2020
AMN,2021-12-31,annual,867069000.0,11383000.0,842322000.0,180928000.0,686141000.0,34077000.0,2021
AMN,2022-12-31,annual,860955000.0,8090000.0,843505000.0,64524000.0,796431000.0,40398000.0,2022
AMN,2023-12-31,annual,1350284000.0,7993000.0,1304688000.0,32935000.0,1317349000.0,54140000.0,2023
