ticker,fy,period_end,bucket,year,amount,tag,filed,form
HTZ,2025,2025-12-31,y4,2029.0,3459000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-26,10-K
HTZ,2025,2025-12-31,y5,2030.0,1389000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-26,10-K
HTZ,2025,2025-12-31,yGT5,2031.0,464000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-26,10-K
JBLU,2026,2026-03-31,rem,,650000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,2026-04-28,10-Q
KSS,2011,2011-07-30,y1,2012.0,100000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2011-09-13,10-Q
LKQ,2025,2025-12-31,y1,2026.0,32000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-19,10-K
LKQ,2025,2025-12-31,y2,2027.0,525000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-19,10-K
LKQ,2025,2025-12-31,y3,2028.0,1112000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-19,10-K
LKQ,2025,2025-12-31,y4,2029.0,522000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-19,10-K
LKQ,2025,2025-12-31,y5,2030.0,9000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-19,10-K
LKQ,2025,2025-12-31,yGT5,2031.0,1495000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-19,10-K
LTH,2025,2025-12-31,y1,2026.0,21848000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-24,10-K
LTH,2025,2025-12-31,y2,2027.0,27812000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-24,10-K
LTH,2025,2025-12-31,y3,2028.0,10139000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-24,10-K
LTH,2025,2025-12-31,y4,2029.0,10149000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-24,10-K
LTH,2025,2025-12-31,y5,2030.0,10167000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-24,10-K
LTH,2025,2025-12-31,yGT5,2031.0,1445118000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-24,10-K
LUMN,2025,2025-06-30,rem,,284000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,2025-07-31,10-Q
MPT,2025,2025-12-31,y1,2026.0,1225363000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-26,10-K
MPT,2025,2025-12-31,y2,2027.0,1600000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-26,10-K
MPT,2025,2025-12-31,y3,2028.0,808500000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-26,10-K
MPT,2025,2025-12-31,y4,2029.0,900000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-26,10-K
MPT,2025,2025-12-31,y5,2030.0,471625000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-26,10-K
MPT,2025,2025-12-31,yGT5,2031.0,4825384000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-26,10-K
NWL,2025,2025-12-31,y1,2026.0,130000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-13,10-K
NWL,2025,2025-12-31,y2,2027.0,500000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-13,10-K
NWL,2025,2025-12-31,y3,2028.0,1252000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-13,10-K
NWL,2025,2025-12-31,y4,2029.0,500000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-13,10-K
NWL,2025,2025-12-31,y5,2030.0,750000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-13,10-K
NWL,2025,2025-12-31,yGT5,2031.0,1586000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-13,10-K
OGN,2025,2025-12-31,y1,2026.0,10000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-24,10-K
OGN,2025,2025-12-31,y2,2027.0,10000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-24,10-K
OGN,2025,2025-12-31,y3,2028.0,3580000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-24,10-K
